                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0925,                 1.8889,                 1.4635,                0.77545,                 0.7683,                0.80975,                0.60392,                0.96387,                0.98486,                 1.3767,               0.070484,              0.0032796,              0.0032796
                      1,                0.83327,                0.85578,                  1.255,                 0.8252,                 0.7829,                0.83332,                0.61955,                0.94401,                0.98794,                 1.4348,               0.040222,               0.006351,               0.006351
                      2,                0.81334,                0.82108,                 1.2328,                 0.7368,                0.70216,                0.75957,                0.51945,                 1.1241,                 1.2635,                 1.5991,              0.0096961,              0.0091585,              0.0091585
                      3,                0.82846,                0.77662,                 1.2303,                 0.8376,                0.68461,                0.75165,                 0.5264,                 1.0312,                 1.2105,                 1.5339,               0.008812,               0.008812,               0.008812
                      4,                0.80177,                0.73326,                 1.2053,                0.85553,                0.72059,                0.81067,                0.57138,                 1.1023,                 1.0734,                 1.5685,               0.008812,               0.008812,               0.008812
                      5,                0.81366,                0.71234,                 1.2233,                0.84894,                0.77339,                0.81838,                0.58012,                 1.0554,                 1.0493,                 1.5416,               0.008416,               0.008416,               0.008416
                      6,                0.76492,                0.65705,                 1.1844,                0.78472,                0.74946,                0.81261,                0.59805,                 1.0412,                0.92563,                 1.4439,                0.00802,                0.00802,                0.00802
                      7,                0.76254,                0.66667,                 1.1719,                0.79859,                0.75622,                0.80654,                0.58876,                 1.0032,                0.91822,                 1.4301,               0.007624,               0.007624,               0.007624
                      8,                0.73357,                0.60754,                  1.151,                0.81958,                0.81139,                0.80374,                 0.5816,                 0.9668,                0.86518,                 1.4417,               0.007228,               0.007228,               0.007228
                      9,                0.71231,                0.59636,                 1.1416,                0.84587,                0.73321,                0.83366,                0.60734,                0.97123,                0.90663,                 1.4538,               0.006832,               0.006832,               0.006832
                     10,                0.68006,                0.55957,                 1.1182,                0.80653,                0.83958,                0.85298,                0.62416,                0.94513,                0.83666,                 1.3998,               0.006436,               0.006436,               0.006436
                     11,                0.65461,                0.53219,                 1.0916,                0.82074,                0.80046,                0.84787,                0.63429,                 0.9373,                0.80436,                 1.4075,                0.00604,                0.00604,                0.00604
                     12,                0.63405,                0.51491,                 1.0856,                0.87211,                0.79327,                0.83312,                0.61499,                 0.9579,                0.81742,                 1.3882,               0.005644,               0.005644,               0.005644
                     13,                0.62706,                0.51748,                 1.0905,                0.85765,                0.80837,                0.86131,                0.64337,                0.93233,                0.78318,                  1.385,               0.005248,               0.005248,               0.005248
                     14,                0.61179,                0.48574,                  1.067,                0.83865,                0.79188,                  0.854,                0.65057,                0.92898,                0.79939,                 1.3686,               0.004852,               0.004852,               0.004852
                     15,                 0.6192,                0.46678,                 1.0488,                0.86243,                0.74448,                0.80963,                0.60603,                0.98521,                 0.8449,                 1.4948,               0.004456,               0.004456,               0.004456
                     16,                0.59879,                0.45476,                 1.0343,                0.83344,                0.80398,                0.84846,                0.63221,                0.94013,                0.76642,                 1.4011,                0.00406,                0.00406,                0.00406
                     17,                 0.5607,                0.41909,                 1.0108,                0.82642,                0.82258,                0.86274,                 0.6604,                 0.8474,                0.76017,                 1.3305,               0.003664,               0.003664,               0.003664
                     18,                0.53965,                0.40326,                 1.0037,                0.84539,                0.78193,                0.84972,                 0.6644,                0.86944,                0.79437,                 1.3484,               0.003268,               0.003268,               0.003268
                     19,                0.50959,                 0.3705,                0.97649,                0.83633,                0.80694,                 0.8578,                0.65738,                0.88156,                0.74392,                 1.3289,               0.002872,               0.002872,               0.002872
                     20,                0.48686,                0.35773,                0.96198,                0.91273,                0.77754,                0.87955,                0.68174,                0.88522,                0.72605,                 1.3414,               0.002476,               0.002476,               0.002476
                     21,                0.46606,                0.34668,                 0.9486,                0.85328,                0.79273,                0.87413,                0.67679,                0.85474,                0.70239,                 1.3178,                0.00208,                0.00208,                0.00208
                     22,                0.45701,                0.33564,                0.93803,                0.87344,                0.79869,                0.87654,                0.69123,                0.85007,                0.69012,                 1.3476,               0.001684,               0.001684,               0.001684
                     23,                0.42823,                0.31766,                0.93422,                0.88468,                0.80243,                0.87972,                0.69325,                0.84923,                 0.6732,                 1.3731,               0.001288,               0.001288,               0.001288
                     24,                0.40807,                0.29729,                0.91866,                 0.8314,                0.84657,                0.88472,                0.68966,                0.86131,                0.68353,                 1.3698,               0.000892,               0.000892,               0.000892
